"","x_coord","y_coord","inf_times","data type","obs_type"
"1",4.815724816,-0.009049774,1987,"fixed",1
"2",3.728501229,0.316742081,1997,"fixed",1
"3",2.825552826,-1.556561086,2002,"fixed",1
"4",1.4,-1,2003,"variable",1
"5",0,-0.5,2004,"variable",1
"6",-1.75,0,2005,"variable",1
"7",-3.366093366,0.615384615,2006,"fixed",1
"8",-3.421375921,0.045248869,2007,"variable",1
"9",-3.531941032,-0.850678733,2008,"variable",1
"10",-3.679361179,-1.773755656,2009,"fixed",1
"11",-3.808353808,-1.895927602,2010,"variable",1
"12",-3.974201474,-2.031674208,2011,"variable",1
"13",-4.14004914,-2.180995475,2012,"fixed",1
"14",4.815724816,-0.009049774,1987,"fixed",2
"15",3.728501229,0.316742081,1997,"fixed",2
"16",2.825552826,-1.556561086,2002,"fixed",2
"17",1.4,-1,2003,"variable",2
"18",0,-0.5,2004,"variable",2
"19",-1.75,0,2005,"variable",2
"20",-3.366093366,0.615384615,2006,"fixed",2
"21",-3.421375921,0.045248869,2007,"variable",2
"22",-3.531941032,-0.850678733,2008,"variable",2
"23",-3.679361179,-1.773755656,2009,"fixed",2
"24",-3.808353808,-1.895927602,2010,"variable",2
"25",-3.974201474,-2.031674208,2011,"variable",2
"26",-4.14004914,-2.180995475,2012,"fixed",2
