"","x_coord","y_coord","inf_times","obs_type"
"1...1",0.120867768595417,0.558712325356097,2000,1
"2...2",0.479338842975608,1.93877190822267,2001,1
"3...3",0.837809917355685,2.49607832889436,2002,1
"4...4",1.19628099173588,2.32646355970353,2003,1
"5...5",1.55475206611607,1.72694936826556,2004,1
"6...6",1.91322314049614,0.994590104289664,2005,1
"7...7",2.27169421487633,0.426440117484269,2006,1
"8...8",2.63016528925652,0.319553757558587,2007,1
"9...9",2.9886363636366,0.970985374221243,2008,1
"10...10",3.34710743801679,2.40712273334441,2009,1
"11...11",3.70557851239698,3.53345108087754,2010,1
"12...12",4.06404958677706,4.09065080658849,2011,1
"13...13",4.42252066115725,4.58130244998288,2012,1
"1...14",0.120867768595417,0.558712325356097,2000,2
"2...15",0.479338842975608,1.93877190822267,2001,2
"3...16",0.837809917355685,2.49607832889436,2002,2
"4...17",1.19628099173588,2.32646355970353,2003,2
"5...18",1.55475206611607,1.72694936826556,2004,2
"6...19",1.91322314049614,0.994590104289664,2005,2
"7...20",2.27169421487633,0.426440117484269,2006,2
"8...21",2.63016528925652,0.319553757558587,2007,2
"9...22",2.9886363636366,0.970985374221243,2008,2
"10...23",3.34710743801679,2.40712273334441,2009,2
"11...24",3.70557851239698,3.53345108087754,2010,2
"12...25",4.06404958677706,4.09065080658849,2011,2
"13...26",4.42252066115725,4.58130244998288,2012,2
